source	target	reason
AY.23	AY.23.1	new .86
AY.29	AY.29.1	new .84
AY.4	AY.4.2	new .82
AY.4	AY.4.3	new .83
AY.4	AY.4.4	new .86
AY.4	AY.4.5	new .86
B.1.617.2	AY.39	new .84
B.1.617.2	AY.39.1	new .84
B.1.617.2	AY.39.1.1	new .84
B.1.617.2	AY.40	new .86
B.1.617.2	AY.41	new .86
B.1.617.2	AY.42	new .87
B.1.617.2	AY.43	new .87
B.1.617.2	AY.44	new .87
B.1.617.2	AY.45	new .87
B.1.617.2	AY.46	new .88
B.1.617.2	AY.46.1	new .88
B.1.617.2	AY.46.2	new .88
B.1.617.2	AY.46.3	new .88
B.1.617.2	AY.46.4	new .88
B.1.617.2	AY.46.5	new .88
B.1.617.2	AY.46.6	new .88
B.1.617.2	AY.47	new .88
P.1	P.1.1	updated .82
P.1	P.1.2	updated .82
P.1	P.1.3	updated .82
P.1	P.1.4	updated .82
P.1	P.1.5	updated .82
P.1	P.1.6	updated .82
P.1	P.1.7	updated .82
P.1	P.1.8	updated .85
P.1	P.1.9	updated .85
P.1	P.1.10	updated .85
P.1	P.1.11	updated .85
P.1	P.1.12	updated .85
P.1	P.1.13	new .85
P.1	P.1.14	new .85
P.1	P.1.15	new .85
P.1	P.1.16	new .85
P.1	P.1.17	new .85
P.1	P.1.17.1	new .85
P.1.10	P.1.10.1	updated .85
P.1.10	P.1.10.2	updated .85
