source	target	reason
AY.16	AY.16.1	new .89
AY.34	AY.34.1	new .92
AY.39	AY.39.2	new .91
AY.4.2	AY.4.2.1	new .93
AY.9	AY.9.1	new .90
AY.9	AY.9.2	new .90
AY.9	AY.9.2.1	new .90
B.1	B.1.639	new .93
B.1.617.2	AY.48	new .89
B.1.617.2	AY.49	new .89
B.1.617.2	AY.50	new .89
B.1.617.2	AY.51	new .89
B.1.617.2	AY.52	new .89
B.1.617.2	AY.53	new .89
B.1.617.2	AY.54	new .89
B.1.617.2	AY.55	new .89
B.1.617.2	AY.56	new .89
B.1.617.2	AY.57	new .89
B.1.617.2	AY.58	new .89
B.1.617.2	AY.59	new .89
B.1.617.2	AY.60	new .89
B.1.617.2	AY.61	new .89
B.1.617.2	AY.62	new .89
B.1.617.2	AY.63	new .89
B.1.617.2	AY.64	new .89
B.1.617.2	AY.65	new .89
B.1.617.2	AY.66	new .89
B.1.617.2	AY.67	new .89
B.1.617.2	AY.68	new .89
B.1.617.2	AY.69	new .89
B.1.617.2	AY.70	new .89
B.1.617.2	AY.71	new .89
B.1.617.2	AY.72	new .89
B.1.617.2	AY.73	new .89
B.1.617.2	AY.74	new .89
B.1.617.2	AY.75	new .89
B.1.617.2	AY.75.1	new .89
B.1.617.2	AY.76	new .90
B.1.617.2	AY.77	new .90
B.1.617.2	AY.78	new .90
B.1.617.2	AY.79	new .90
B.1.617.2	AY.80	new .90
B.1.617.2	AY.81	new .90
B.1.617.2	AY.82	new .90
B.1.617.2	AY.83	new .90
B.1.617.2	AY.84	new .90
B.1.617.2	AY.85	new .90
B.1.617.2	AY.86	new .90
B.1.617.2	AY.87	new .90
B.1.617.2	AY.88	new .90
B.1.617.2	AY.89	new .90
B.1.617.2	AY.90	new .90
B.1.617.2	AY.91	new .90
B.1.617.2	AY.91.1	new .90
B.1.617.2	AY.92	new .90
B.1.617.2	AY.93	new .90
B.1.617.2	AY.94	new .90
B.1.617.2	AY.95	new .90
B.1.617.2	AY.96	new .90
B.1.617.2	AY.97	new .90
B.1.617.2	AY.98	new .90
B.1.617.2	AY.98.1	new .90
B.1.617.2	AY.99	new .90
B.1.617.2	AY.99.1	new .90
B.1.617.2	AY.99.2	new .90
B.1.617.2	AY.100	new .90
B.1.617.2	AY.101	new .90
B.1.617.2	AY.102	new .90
B.1.617.2	AY.103	new .92
B.1.617.2	AY.104	new .92
B.1.617.2	AY.105	new .92
B.1.617.2	AY.106	new .92
B.1.617.2	AY.107	new .92
B.1.617.2	AY.108	new .92
B.1.617.2	AY.109	new .92
B.1.617.2	AY.110	new .92
B.1.617.2	AY.111	new .92
B.1.617.2	AY.112	new .92
B.1.617.2	AY.113	new .92
B.1.617.2	AY.114	new .92
B.1.617.2	AY.115	new .92
B.1.617.2	AY.116	new .92
B.1.617.2	AY.116.1	new .92
B.1.617.2	AY.117	new .92
B.1.617.2	AY.118	new .92
B.1.617.2	AY.119	new .92
B.1.617.2	AY.120	new .92
B.1.617.2	AY.120.1	new .92
B.1.617.2	AY.120.2	new .92
B.1.617.2	AY.120.2.1	new .92
B.1.617.2	AY.121	new .93
